StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,17,1,0,2,19.83372281,7,1,2,0,0,1,0,2.93,2
1002,18,0,0,1,15.40875606,0,0,1,0,0,0,0,3.04,1
1003,15,0,2,3,4.210569769,26,0,2,0,0,0,0,0.11,4
1004,17,1,0,3,10.02882947,14,0,3,1,0,0,0,2.05,3
1005,17,1,0,2,4.672495273,17,1,3,0,0,0,0,1.29,4
1006,18,0,0,1,8.191218545,0,0,1,1,0,0,0,3.08,1
1007,15,0,1,1,15.60168047,10,0,3,0,1,0,0,2.75,2
1008,15,1,1,4,15.42449631,22,1,1,1,0,0,0,1.36,4
1009,17,0,0,0,4.562007558,1,0,2,0,1,0,1,2.90,2
1010,16,1,0,1,18.44446636,0,0,3,1,0,0,0,3.57,0
1011,17,0,0,1,11.85136366,11,0,1,0,0,0,0,2.15,3
1012,17,0,0,1,7.598485819,15,0,2,0,0,0,1,1.56,4
1013,17,0,1,1,10.03871162,21,0,3,1,0,0,0,1.52,4
1014,17,0,1,2,12.10142507,21,0,4,0,1,0,0,1.75,4
1015,18,1,0,1,11.19781064,9,1,2,0,0,0,0,2.40,3
1016,15,0,0,2,9.728100711,17,1,0,0,1,0,0,1.34,4
1017,18,0,3,1,10.09865608,14,0,2,1,1,0,0,2.23,3
1018,18,1,0,0,3.528238209,16,1,2,0,0,0,0,1.38,4
1019,18,0,1,3,16.25465809,29,0,2,1,0,0,1,0.47,4
1020,17,0,0,1,10.8352064,9,0,2,0,0,1,0,2.40,3
1021,16,1,0,3,2.621597234,2,0,3,0,0,0,1,2.78,2
1022,15,0,0,2,15.32314203,25,0,1,1,0,0,0,0.35,4
1023,16,1,1,0,18.64887957,29,1,1,0,0,0,0,0.31,4
1024,18,1,3,4,18.94613798,20,0,2,1,0,0,0,1.77,4
1025,18,1,0,1,7.380354648,15,0,2,0,0,0,0,1.51,4
1026,16,1,0,3,2.710337471,5,0,4,0,0,1,0,2.98,2
1027,16,0,0,1,10.36799253,2,0,2,0,1,0,0,2.95,2
1028,16,1,0,3,2.252184587,8,0,3,0,0,1,0,2.15,3
1029,18,0,0,0,18.67974837,10,0,3,1,0,0,0,2.85,2
1030,18,0,0,2,3.671592547,20,0,3,1,0,0,0,1.52,4
1031,15,0,2,2,5.055317199,12,1,0,0,1,0,0,1.73,4
1032,15,0,0,3,8.132730538,17,0,4,0,0,0,1,1.85,4
1033,18,0,0,3,7.663289371,25,0,1,0,1,0,0,0.38,4
1034,16,0,3,3,15.89325785,21,0,0,1,1,0,0,0.95,4
1035,16,0,0,3,9.126336411,27,1,2,1,1,0,0,1.14,4
1036,15,0,3,1,3.4153652,23,0,1,0,0,0,0,0.26,4
1037,18,0,0,1,5.34419791,26,1,1,0,0,0,0,0.22,4
1038,15,0,2,1,10.1822677,21,1,1,0,1,0,0,1.07,4
1039,15,1,1,1,2.949078349,3,1,1,1,1,0,0,3.02,1
1040,17,1,2,1,12.23311351,21,1,3,1,1,0,0,1.53,4
1041,17,1,3,2,11.31494613,23,1,1,0,0,0,0,1.06,4
1042,17,0,0,1,14.29404633,7,0,2,0,0,0,0,2.63,2
1043,16,1,3,2,18.75409231,12,1,4,0,0,0,0,2.81,2
1044,18,1,0,1,18.24509122,9,0,2,0,1,0,0,2.89,2
1045,18,1,0,1,18.92151236,1,1,3,1,1,0,0,4.00,0
1046,18,0,0,2,4.89431194,7,0,4,0,0,1,0,2.52,2
1047,18,0,1,2,2.631306133,5,0,1,1,0,0,0,2.56,2
1048,17,0,0,2,6.04553401,15,0,2,0,0,0,0,1.70,4
1049,16,0,1,2,17.90170346,17,0,3,0,0,1,0,2.10,3
1050,16,1,1,1,19.44106949,16,0,4,1,0,0,0,2.46,3
1051,17,1,2,2,17.18649902,5,0,3,0,0,0,0,2.94,2
1052,16,1,2,0,2.200354423,12,1,1,1,0,1,0,1.99,4
1053,17,1,0,1,18.94855996,22,0,4,0,0,1,0,1.57,4
1054,18,0,0,2,8.467160547,13,0,1,0,1,0,0,1.66,4
1055,17,0,0,0,0.186205815,29,1,2,1,1,0,0,0.76,4
1056,18,0,0,1,8.847874815,25,0,2,0,1,0,0,0.80,4
1057,18,1,0,4,0.921383394,20,0,2,0,1,1,0,1.34,4
1058,15,0,0,4,10.87755842,29,0,3,1,0,0,0,0.29,4
1059,17,0,0,1,6.771080549,9,1,3,0,1,0,0,2.61,2
1060,15,1,3,0,9.468698672,23,0,3,0,1,0,0,0.93,4
1061,17,1,1,1,12.26340721,10,0,0,1,0,1,0,1.89,4
1062,17,0,0,1,17.37602192,12,0,2,0,0,1,0,2.33,3
1063,15,0,1,3,13.23803153,11,0,3,0,1,0,0,2.23,3
1064,15,0,0,1,8.68097737,8,0,2,0,1,0,0,2.39,3
1065,17,0,0,2,16.38855707,3,1,4,0,0,0,0,3.35,1
1066,16,0,1,1,18.11164275,6,1,3,1,0,0,0,3.26,1
1067,18,0,0,4,2.395199329,23,0,3,0,1,0,0,1.04,4
1068,15,1,0,1,10.63865955,28,0,0,0,1,0,0,0.03,4
1069,18,1,3,2,5.690239195,21,1,3,0,0,1,0,1.33,4
1070,16,1,2,1,0.941223958,1,0,4,0,0,1,0,3.28,1
1071,16,0,1,2,13.3709339,6,0,2,1,0,0,0,2.94,2
1072,16,1,1,1,17.25541555,28,0,3,0,0,1,1,0.74,4
1073,15,0,1,1,3.25805309,8,0,2,1,1,0,0,2.56,2
1074,16,0,0,3,16.24827315,4,1,2,0,0,0,0,3.30,1
1075,15,1,0,3,17.06791467,14,0,3,1,0,1,0,2.20,3
1076,16,0,0,3,18.28680885,17,0,3,0,1,0,0,1.86,4
1077,18,0,0,2,5.305701782,3,0,3,0,0,0,0,2.73,2
1078,18,1,1,3,18.0790613,18,1,1,1,1,0,0,2.13,3
1079,17,1,0,0,6.413255095,19,0,1,0,0,0,0,0.98,4
1080,18,1,3,1,11.04676027,25,0,3,0,1,0,0,0.99,4
1081,17,0,3,1,1.010149417,6,0,1,0,1,0,0,2.07,3
1082,18,1,2,2,0.877621767,25,0,2,0,0,0,0,0.50,4
1083,15,1,1,1,14.40746425,7,0,0,1,1,0,0,2.53,2
1084,18,0,2,1,8.88959956,16,0,1,0,1,0,0,1.46,4
1085,17,1,0,2,5.125847507,12,0,3,1,1,0,0,2.34,3
1086,17,1,2,3,3.80826992,23,0,3,0,0,0,0,1.16,4
1087,16,1,0,1,13.39906982,20,1,1,1,0,1,1,1.52,4
1088,15,0,2,1,0.008030881,27,0,1,0,0,1,0,0.00,4
1089,18,0,0,1,16.11782338,22,0,0,1,0,1,0,1.06,4
1090,16,0,2,1,1.584992123,10,0,2,0,0,1,1,2.23,3
1091,18,0,3,1,3.829792298,26,0,1,0,0,0,1,0.19,4
1092,18,1,0,2,7.724727906,0,0,2,1,1,0,0,3.51,0
1093,16,0,0,2,9.697174794,1,1,3,0,0,0,0,3.55,0
1094,16,0,3,2,7.099902316,16,1,3,0,1,0,0,2.24,3
1095,16,1,0,1,6.4142433,4,0,1,1,1,0,0,2.71,2
1096,16,1,2,3,19.27832024,29,0,3,0,0,0,1,0.73,4
1097,16,1,1,1,12.83159362,29,0,4,0,0,1,0,0.97,4
1098,18,0,0,2,0.468659107,5,0,2,0,1,0,0,2.56,2
1099,16,0,0,3,8.603518169,25,0,2,1,0,1,1,0.74,4
1100,15,0,0,1,17.50017399,24,0,2,0,0,0,0,0.72,4
1101,17,1,2,1,6.029123728,23,1,1,1,1,0,1,1.27,4
1102,16,1,0,3,1.891126895,6,0,3,1,0,1,1,2.53,2
1103,16,0,1,1,15.16769543,27,0,3,1,1,0,0,0.94,4
1104,18,1,0,2,12.12027664,20,1,2,0,1,0,0,1.52,4
1105,16,1,1,0,11.40625016,29,0,3,1,0,0,0,0.65,4
1106,16,1,2,2,1.071531192,14,0,3,0,1,1,1,2.05,3
1107,16,0,3,1,2.809980196,18,0,0,1,0,0,1,0.84,4
1108,18,1,0,0,12.45098792,15,0,1,0,1,0,0,1.46,4
1109,16,1,2,2,4.156476829,24,1,3,1,1,0,0,1.49,4
1110,17,0,2,1,10.08140159,12,1,4,0,0,0,0,2.59,2
1111,18,0,1,1,10.89763372,4,1,3,0,0,0,0,3.22,1
1112,17,1,3,0,5.670143805,2,1,4,0,0,1,0,3.55,0
1113,18,1,0,1,18.96850311,2,0,2,0,0,0,0,3.09,1
1114,16,0,0,1,16.84928214,18,1,1,0,1,1,0,1.92,4
1115,17,0,2,0,14.44747015,13,1,2,0,0,0,0,2.20,3
1116,18,1,0,3,1.559877328,15,0,0,0,0,0,1,0.88,4
1117,15,1,2,0,2.122600386,21,0,3,1,0,1,0,1.34,4
1118,16,1,2,2,9.855626917,16,0,4,0,0,0,0,1.82,4
1119,18,1,0,1,3.214266984,26,0,3,0,1,0,0,0.62,4
1120,15,0,2,1,19.56530927,3,0,2,1,0,1,1,3.62,0
1121,18,1,0,3,3.170404681,12,1,1,1,1,0,0,2.17,3
1122,15,1,1,1,9.749356709,7,1,1,0,1,1,0,2.97,2
1123,16,0,1,4,7.282421137,18,0,2,0,0,0,0,0.98,4
1124,17,1,3,1,12.78772843,4,0,3,0,0,0,0,3.10,1
1125,15,0,0,2,2.580728178,1,1,2,1,0,1,0,3.50,1
1126,18,1,0,2,8.606328561,14,0,4,1,0,0,0,2.59,2
1127,16,1,1,3,5.494100656,1,0,3,1,0,0,0,3.54,0
1128,15,0,2,2,17.75503049,10,1,1,0,1,0,0,2.82,2
1129,18,0,1,2,0.811714243,12,1,1,1,1,0,0,2.02,3
1130,18,1,0,1,18.27454988,22,1,3,0,0,0,0,1.37,4
1131,18,1,0,1,16.65988277,9,0,1,0,0,0,0,2.10,3
1132,15,1,0,3,5.951414329,2,0,3,0,0,0,0,3.03,1
1133,15,0,2,1,15.78581309,4,1,2,0,1,0,0,3.58,0
1134,15,1,0,1,0.624271207,2,0,1,1,0,0,0,2.43,3
1135,17,0,0,2,19.33731101,5,1,2,1,0,0,0,3.16,1
1136,15,0,3,1,10.53189885,12,0,2,1,0,0,0,2.12,3
1137,15,1,0,4,6.065620521,9,0,3,0,1,0,0,2.20,3
1138,15,0,3,2,7.251664252,18,0,0,1,0,1,1,1.18,4
1139,17,1,1,2,1.328107069,7,0,3,1,0,0,0,2.74,2
1140,15,1,2,3,19.78699028,17,1,3,0,0,0,0,2.24,3
1141,18,1,0,0,0.785838903,2,0,3,1,0,0,0,3.14,1
1142,15,1,0,1,13.09814246,23,1,0,1,1,0,0,1.05,4
1143,18,1,2,2,8.854718554,23,1,3,0,0,0,0,0.82,4
1144,18,0,2,1,18.97832436,16,0,2,1,0,1,0,2.03,3
1145,18,0,2,2,4.919994806,7,1,2,1,1,0,0,2.43,3
1146,17,1,0,3,10.64173648,9,0,3,1,0,0,0,2.66,2
1147,17,1,2,2,9.647124172,1,1,2,1,0,0,1,3.59,0
1148,17,0,2,1,14.05732888,11,0,3,0,1,0,0,2.31,3
1149,15,0,1,4,1.360204639,22,0,1,1,1,0,1,1.01,4
1150,18,0,2,2,3.8757826,5,0,3,1,0,0,0,2.88,2
1151,17,0,2,2,4.291296402,1,0,1,0,1,1,0,2.80,2
1152,17,1,1,1,14.7630151,20,1,3,0,1,0,0,1.76,4
1153,15,1,0,3,3.782773927,22,0,4,1,0,0,1,1.12,4
1154,17,0,0,2,11.46983528,23,0,2,0,0,0,0,1.03,4
1155,15,1,0,2,4.30487641,2,0,2,1,0,0,0,3.08,1
1156,16,0,0,3,17.232499,16,1,3,1,1,0,0,2.63,2
1157,17,1,0,1,18.84370909,28,0,0,0,1,1,1,0.50,4
1158,16,0,0,2,10.3698595,6,0,2,0,0,0,0,2.78,2
1159,15,1,0,3,7.046177684,28,0,2,0,0,0,0,0.25,4
1160,18,0,0,1,4.6811555,20,0,3,0,0,0,1,1.19,4
